,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003199715059199,3.920278342952516,4.155772900710398,3.527673009249163,3.9204914623594074,4.143387958392995,2.6556292426647268,4.067074384623326,4.010432290531134,3.80579182612695,3.536619147228484,3.559571585888103,4.960107618057252,3.999353982332924,3.266544413729267,3.887761032250586,2.362660788875114,3.1494506396890283,4.109436520427932,3.403952683149897,4.011637373810417,3.609861519686119,3.482002942034471,3.798506117264251,3.7971619006505732,3.984573814852499,3.3310834751566185,3.990533804145986,3.457501002555347,3.1045806377688336,2.72060030032828,3.352548503590967,3.0425360941024207,4.565890771910008
2,4.970688913128454,4.9679797954979295,4.445630670374685,3.903093666894711,4.8321304235429325,4.7061603999770485,3.3936972819758493,4.699110628606907,4.532283146059881,4.837704004995876,3.9618048094585943,4.0674109089657815,4.775175386070464,4.012905830393377,3.99850971516757,4.217455062617786,2.5223720205442492,3.543131554274905,4.197990683092184,4.397593876941109,4.9939276441896805,4.573597225548753,3.822643527472715,4.732619911984187,4.314595767971403,4.494119289638689,4.4149353494264645,4.164724754973218,3.4628607312009936,4.39081187066264,2.994315428898264,4.346915749966118,4.012576262415728,3.9994202328870263
3,4.017202532577022,3.9856855439911985,4.955729966112198,4.088435768618706,4.528671618375376,4.271264769289347,2.8184754556732896,4.338426372269287,4.491347385446905,4.368011077841151,3.72529307876405,3.5316619444875843,4.964907292884386,4.196342513005157,3.443741348304887,3.62198154412984,2.724785301836619,3.418240273676067,4.208839744664275,3.501624202763006,4.440284866161695,3.0109494851040086,3.0160144487583236,3.8631419279109918,4.081192642909288,4.317279426176281,3.880542803821381,4.474605405346267,3.2063538361541526,3.234708124201878,2.2281254784527382,2.587027415065757,3.4457802534904842,4.594323219244645
4,4.991057980731744,4.98726738368246,4.929478492976064,4.961961829224312,5.01057547558157,4.961486944007805,3.9440278534798217,5.076361555334467,4.95233129046289,5.017431416825631,4.511718915536558,3.8226251665280957,5.00034974287706,4.20400041414669,3.5828604752279505,4.37228256819268,3.1141233675425273,3.541438330025919,4.341354071342747,3.981522581868441,4.721617283393451,4.591422404075655,3.5989340963976693,4.979606356327678,4.062661637201362,4.741971766864827,4.503384643093571,4.906971380719502,3.1170270017358286,3.415202030580746,2.006046043396239,4.223442607331835,4.171964960547846,4.644072958895751
5,4.980603515285842,4.240424847193471,5.461864838770413,4.372580878367329,5.164810818697545,4.553429363160271,3.1550481403571795,4.636140038217543,4.982087564335574,4.920522546827122,4.143792543166467,4.1079152481729,4.964990228670374,4.678950918487987,3.2908646018362293,4.2706381468360926,3.0232098529267812,3.4370834561048187,4.9697366994200705,3.3905578320555354,3.9950448285660984,3.4887608180682053,3.1089197620783735,4.433705418399493,4.504426972941624,4.722415391158739,3.7370429294649887,5.076005874785482,3.0172508067293626,3.61136430789284,2.9962808751999845,2.0318041532584763,4.980751024086982,4.987318432186441
6,4.970653191620564,4.964550411984158,4.169889951922522,3.8785372275074654,4.506659877418768,4.541486176778741,3.5530450848062243,4.708591209728357,4.287457865076873,4.623744462965391,3.884524436059586,3.7878300045364597,4.32124161623876,3.6317551409479427,3.906046476996524,4.099703693587847,2.547813553405624,3.086178359247156,3.73601177539844,4.183158048939904,4.887595006618261,4.814683601473896,3.907422832238282,4.846109622450625,4.01552557783864,4.2182092869908105,4.733890970425512,3.838921553402071,3.476303104200416,3.812799898099786,2.0107232902288437,4.979285373087273,4.001684038734488,3.016665041107955
7,4.978862360228195,4.184527989092648,4.2198895864982,2.0411052216626584,4.1459434400072315,4.239371631364447,2.8287417872690908,4.041242465063535,4.001611030209841,4.114833853986644,3.3268939684966217,4.967675571819679,4.98858306766906,4.913509948632903,4.040843835649228,4.983491062440537,2.1574349960360997,2.9394103698983245,4.2587585872774625,4.517585660079563,4.619093376158295,4.995939220633866,4.981609027579856,4.6930604425876545,4.547245784033845,3.98719562836736,3.796582906438327,3.667828511869404,5.168052243955273,4.444440331495023,4.287978690063012,4.5178857820490395,4.583881756305516,4.0029495043566214
8,4.0331895509451625,4.6112102356610745,4.988316299012413,4.093831050532426,4.812550145986795,4.38003575728579,3.453004195387071,4.457013138651116,4.893618578310222,5.002098953327248,4.261194402042731,4.029756304019307,4.41499450594714,4.984761518926189,3.481952707368258,4.048059933478644,3.320659779888644,4.060344073882087,3.66896220218066,3.940506154049544,5.040039205188427,3.6351743405427897,3.001191922008875,4.479831443294738,4.2673207370733675,4.697585955958326,4.961263428002158,4.964588600569797,3.4017666907380675,3.47483361113353,2.0975844809567272,3.155340663726655,3.796075318345002,4.45616039103612
9,4.985858334303931,4.640464026168045,4.999136071348141,4.143001379547626,4.871314912827808,4.667835342892638,3.4072022427091,4.796244791900905,4.769570770086825,4.763071472107158,4.35220397027532,4.28996090370636,4.9990346084643935,4.868124502590026,3.3622215364825028,4.977772949612048,2.9897046170877877,3.4540883221384586,4.368050117453776,3.58990996653626,4.595350823856779,4.5655112170922285,3.973000024945028,4.753324155229287,4.420859624180583,4.743114607363446,4.05375480879579,4.974987982982882,3.998291682784064,3.4483342936077217,2.61328897047501,3.7356173726757187,4.4613415158230785,4.8915392837730165
10,4.009610896290629,3.984460436739804,4.000587724201503,2.5242834601798996,3.924269585195426,4.251730574595081,2.7783401934631966,4.018317043335688,4.007721256930378,3.903319509663932,2.5110591363779893,4.0113761945426045,4.990407327778967,3.019102788683244,4.9508418059318435,3.5496498955347433,2.9271110551043744,2.790224727375485,4.508775992351796,5.0802071036852725,3.978664655346298,4.0016080540531815,4.960478162582029,4.037175119911383,3.6447384112265784,3.572031314900398,3.8975636469933503,3.207340398563191,4.997902744987192,5.323216372076207,2.9668370496275456,4.655396825250286,3.3025563725218414,4.017659535841038
